Sequence_type,NG-STAR CC
1,463
2,1401
3,334
4,348
5,1229
6,Ungroupable
7,208
8,26
9,63
10,477
11,845
12,2036
13,3087
14,104
15,15
16,90
17,17
18,17
19,20
20,20
21,551
22,127
23,15
24,Ungroupable
25,348
26,127
27,127
28,26
29,127
30,26
31,26
32,127
33,127
34,311
35,127
36,127
37,127
38,38
39,38
40,Ungroupable
41,Ungroupable
42,42
43,42
44,178
45,893
46,307
47,142
48,142
49,142
50,1109
51,199
52,370
53,309
54,63
55,63
56,55
57,301
58,63
59,213
60,63
61,301
62,845
63,63
64,63
65,63
66,63
67,63
68,63
69,304
70,889
71,73
72,73
73,73
74,1038
75,63
76,1118
77,79
78,79
79,79
80,79
81,893
82,2028
83,239
84,352
85,239
86,1115
87,239
88,90
89,90
90,90
91,90
92,90
93,90
94,90
95,90
96,90
97,90
98,90
99,90
100,90
101,90
102,90
103,90
104,104
105,471
106,471
107,471
108,883
109,104
110,20
111,90
112,304
113,199
114,199
115,158
116,3165
117,104
118,240
119,79
120,3111
121,158
122,124
123,124
124,124
125,90
126,124
127,127
128,127
129,127
130,151
131,127
132,90
133,38
134,90
135,38
136,90
137,442
138,137
139,137
140,137
141,137
142,442
143,137
144,190
145,26
146,20
147,137
148,199
149,124
150,90
151,124
152,90
153,190
154,90
155,38
156,90
157,42
158,158
159,42
160,178
161,160
162,137
163,124
165,158
167,63
168,168
169,190
170,426
171,160
172,160
173,Ungroupable
174,178
175,38
176,231
177,127
178,352
179,178
180,51
181,442
182,63
183,63
184,63
185,63
186,896
187,1038
188,63
189,212
190,190
191,178
192,301
193,63
194,90
195,90
196,90
197,90
198,137
199,199
200,345
201,38
202,73
203,203
204,127
205,190
206,20
207,893
208,127
209,127
210,63
211,63
212,63
213,63
214,307
215,20
216,2033
217,4353
218,127
219,63
220,395
221,2351
222,137
223,63
224,2047
225,127
226,348
227,348
228,42
229,1271
230,352
231,893
232,348
233,199
234,190
235,1115
236,Ungroupable
237,20
238,1115
239,190
240,63
241,301
242,213
243,Ungroupable
244,63
245,63
246,63
247,309
248,309
249,309
250,90
251,63
252,124
253,124
254,90
255,90
256,90
257,127
258,124
259,452
260,124
261,169
262,127
263,26
264,124
265,345
266,3117
267,124
268,309
269,352
270,178
271,271
272,862
273,137
274,63
275,896
276,15
277,477
278,279
279,137
280,15
281,471
282,139
283,127
284,958
285,286
286,732
287,104
288,352
289,352
290,63
291,124
292,352
293,301
294,20
295,17
296,395
297,3087
298,190
299,239
300,2047
301,63
302,63
303,90
304,2753
305,309
306,17
307,307
308,893
309,309
310,26
311,311
312,38
313,Ungroupable
314,442
315,2192
316,1458
317,1816
318,3564
319,90
320,348
321,348
322,958
323,Ungroupable
324,2467
325,137
326,2467
327,Ungroupable
328,139
329,348
330,348
331,104
332,Ungroupable
333,309
334,409
335,127
336,4128
337,896
338,755
339,893
340,178
341,137
342,42
343,190
344,137
345,199
346,199
347,199
348,348
349,2036
350,520
351,2036
352,352
353,42
354,468
355,893
356,1271
357,352
358,4825
359,2035
360,358
361,17
362,520
363,311
364,190
365,3087
366,1115
367,190
368,104
369,867
370,190
371,20
372,137
373,137
374,190
375,137
376,3036
377,127
378,190
379,124
380,141
381,124
382,63
383,390
384,42
385,124
386,124
387,124
388,190
389,309
390,190
391,893
392,63
393,190
394,63
395,137
396,124
397,90
398,301
399,390
400,442
401,127
402,893
403,124
404,124
405,893
406,20
407,893
408,26
409,127
410,352
411,124
412,63
413,63
414,63
415,301
416,73
417,213
418,893
419,158
420,199
421,127
422,893
423,178
424,2028
425,3311
426,426
427,427
428,199
429,63
430,73
431,1665
432,442
433,271
434,178
435,178
436,427
437,209
438,1771
439,63
440,63
441,190
442,442
443,26
444,97
445,455
446,1115
447,63
448,352
449,1632
450,63
451,395
452,38
453,63
454,63
455,309
456,307
457,124
458,199
459,90
460,442
461,63
462,26
463,352
464,896
465,442
466,42
467,63
468,42
469,42
470,199
471,142
472,1115
473,390
474,2060
475,63
476,158
477,124
478,271
479,896
480,158
481,301
482,63
483,754
484,137
485,348
486,497
487,348
488,348
489,2351
490,2351
491,26
492,348
493,2288
494,2441
495,497
496,38
497,497
498,104
499,90
500,127
501,501
502,73
503,2467
504,1118
505,Ungroupable
506,199
507,90
508,199
509,2436
510,929
511,199
512,199
513,199
514,199
515,345
516,158
517,199
520,42
522,178
524,178
526,307
533,893
534,427
539,1340
543,301
545,190
546,1115
547,2036
548,3087
549,63
550,442
551,190
552,137
553,309
554,199
556,26
557,345
558,26
559,1271
561,958
562,178
563,893
564,893
565,1074
567,2069
568,893
569,465
570,15
571,26
572,127
573,3597
574,2904
575,Ungroupable
576,896
577,1271
578,1958
579,958
580,1771
581,1663
583,4450
584,2028
585,311
586,463
587,311
588,17
590,124
591,309
592,896
593,190
595,755
597,2265
598,127
599,439
601,Ungroupable
602,Ungroupable
603,334
604,4386
605,2703
606,4520
607,2503
608,3597
609,127
611,1096
614,139
615,958
616,Ungroupable
617,286
618,Ungroupable
620,268
622,268
623,17
625,1771
626,4936
627,90
628,4353
629,1449
630,42
631,Ungroupable
632,3311
633,Ungroupable
635,958
636,1529
637,958
638,Ungroupable
639,3311
640,1055
641,199
642,501
643,511
644,17
645,893
646,2036
647,55
648,301
649,1888
650,1636
651,1401
652,3597
653,3311
654,301
655,893
656,468
657,1643
658,3597
659,1430
660,1418
661,237
662,3087
663,20
664,190
665,1077
666,Ungroupable
667,883
668,1362
669,4959
672,2036
673,1115
674,90
676,137
677,137
678,289
679,178
681,2028
682,606
683,190
684,2069
685,3165
686,190
687,137
688,84
689,137
690,893
691,63
692,2060
693,124
694,3992
695,688
696,127
697,124
698,182
699,137
700,26
701,501
702,141
705,442
706,26
707,896
708,1271
709,90
710,348
713,20
714,426
715,732
716,893
717,63
718,1126
719,427
720,90
721,Ungroupable
722,20
723,20
724,893
725,20
726,4353
727,158
728,3586
729,893
730,20
731,190
732,732
733,2047
734,Ungroupable
735,3597
736,2028
737,3597
738,893
739,127
740,464
741,239
743,309
744,124
745,1115
746,896
747,239
748,2753
749,20
750,352
751,2580
752,896
753,754
754,2036
755,754
758,90
769,309
774,2028
776,1054
777,178
778,426
779,426
780,73
783,124
798,73
801,4353
803,137
806,240
810,63
827,1608
828,73
829,754
830,830
831,247
832,137
833,1271
836,3692
837,893
838,84
839,439
840,754
841,190
842,754
843,754
844,845
845,845
846,3087
847,2883
848,2028
849,Ungroupable
850,20
851,20
852,20
853,90
854,127
855,348
856,137
857,90
858,26
859,42
860,63
861,1603
862,352
863,352
864,893
865,893
866,178
867,893
868,872
869,2069
870,309
871,309
872,3311
873,3311
874,567
875,2069
876,309
877,309
878,872
879,309
880,286
881,274
882,63
883,63
884,63
885,830
886,4825
887,384
888,4353
889,199
890,426
891,896
892,896
893,893
894,2973
895,73
896,896
897,427
898,427
899,4520
900,73
901,830
902,55
903,63
904,63
905,1401
906,Ungroupable
907,2467
908,63
909,199
910,199
911,190
912,3111
913,190
914,190
915,1958
916,1958
917,352
918,404
919,199
920,233
921,90
922,90
923,90
924,90
925,90
926,90
927,127
928,139
929,514
930,158
931,158
932,158
933,158
934,124
935,124
936,127
937,124
938,124
939,129
940,127
941,124
942,124
943,182
944,1526
945,1526
946,1526
947,Ungroupable
948,233
949,949
950,271
951,90
952,90
953,158
954,63
955,307
956,3087
957,1883
958,958
959,63
960,958
961,395
962,20
963,20
964,20
965,63
966,4353
967,3311
968,248
969,968
970,968
971,567
972,845
973,2047
974,2047
975,Ungroupable
976,3564
977,845
978,1958
979,1771
980,1271
981,738
982,137
983,63
984,352
985,90
986,158
987,182
988,352
989,104
990,190
991,893
992,190
993,710
994,90
995,55
996,73
997,90
998,151
999,90
1000,1254
1001,90
1002,345
1003,426
1004,896
1005,3087
1006,4353
1007,137
1008,127
1009,90
1010,309
1011,38
1012,90
1013,271
1014,90
1015,90
1016,3111
1017,Ungroupable
1018,90
1019,90
1020,289
1021,42
1022,178
1023,1024
1024,1024
1025,124
1026,442
1027,73
1028,307
1029,160
1030,168
1031,1818
1032,63
1033,2036
1034,213
1035,866
1036,866
1037,158
1038,1038
1039,168
1040,168
1041,168
1042,168
1043,168
1044,168
1045,90
1046,160
1047,2257
1049,427
1050,124
1051,1271
1052,567
1053,3035
1054,1054
1055,428
1056,2778
1057,160
1058,124
1059,158
1060,231
1061,160
1062,160
1063,90
1064,42
1065,42
1066,63
1067,160
1068,3111
1069,893
1070,42
1071,3087
1072,237
1073,17
1074,1958
1075,20
1076,2586
1077,1077
1078,1958
1079,1958
1080,1958
1081,352
1082,893
1083,17
1084,1117
1085,867
1086,2914
1087,1077
1088,237
1089,288
1090,1888
1091,1418
1092,1271
1093,352
1094,42
1095,1771
1096,309
1097,309
1098,4758
1099,42
1100,1179
1101,38
1102,199
1103,199
1104,428
1105,124
1106,124
1107,199
1108,470
1109,127
1110,428
1111,2351
1112,2351
1113,17
1114,17
1115,1115
1116,190
1117,190
1118,199
1119,1115
1120,190
1121,239
